date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:51	106/106	---M--	200	added ('OK')	text/plain	etag:%22a334f-64-37a2a31ed91c0%22	http://www.pygame.org/robots.txt		(from )
18:29:52	12672/12672	---M--	200	added ('OK')	text/html	etag:%22e0cd9-3180-4ec37c0de6780%22	http://www.pygame.org/docs/	/home/michal/websites/pygame/www.pygame.org/docs/index.html	(from )
18:29:53	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2029%20Nov%202013%2017:29:52%20GMT	http://www.w3.org/1999/xhtml	/home/michal/websites/pygame/www.w3.org/1999/xhtml.0.delayed	(from )
18:30:01	9044/9044	---M--	200	added ('OK')	text/css	etag:%22e711c-2354-4ec37c10c2e40%22	http://www.pygame.org/docs/_static/pygame.css	/home/michal/websites/pygame/www.pygame.org/docs/_static/pygame.css	(from )
18:30:02	3932/3932	---M--	200	added ('OK')	text/css	etag:%22e7088-f5c-4ec37c10c2e40%22	http://www.pygame.org/docs/_static/pygments.css	/home/michal/websites/pygame/www.pygame.org/docs/_static/pygments.css	(from )
18:30:03	2727/2727	---M--	200	added ('OK')	text/plain	etag:%22aa7-4c50d42fd8400%22	http://www.w3.org/robots.txt		(from http://www.pygame.org/docs/)
18:30:05	72174/72174	---M--	200	added ('OK')	application/javascript	etag:%22e7085-119ee-4ec37b782c640%22	http://www.pygame.org/docs/_static/jquery.js	/home/michal/websites/pygame/www.pygame.org/docs/_static/jquery.js	(from )
18:30:07	8574/8574	---M--	200	added ('OK')	application/javascript	etag:%22e708e-217e-4ec37b782c640%22	http://www.pygame.org/docs/_static/underscore.js	/home/michal/websites/pygame/www.pygame.org/docs/_static/underscore.js	(from )
18:30:08	6840/6840	---M--	200	added ('OK')	application/javascript	etag:%22e70fe-1ab8-4ec37b782c640%22	http://www.pygame.org/docs/_static/doctools.js	/home/michal/websites/pygame/www.pygame.org/docs/_static/doctools.js	(from )
18:30:09	1078/1078	---M--	200	added ('OK')	image/x-icon	etag:%22e708a-436-4ab29a25f3540%22	http://www.pygame.org/docs/_static/pygame.ico	/home/michal/websites/pygame/www.pygame.org/docs/_static/pygame.ico	(from )
18:30:10	16135/16135	---M--	200	added ('OK')	text/html	etag:%22e70f2-3f07-4ec37c0de6780%22	http://www.pygame.org/docs/ref/bufferproxy.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/bufferproxy.html	(from )
18:30:12	14081/14081	---M--	200	added ('OK')	image/png	etag:%22e708b-3701-4ab29a25f3540%22	http://www.pygame.org/docs/_static/pygame_tiny.png	/home/michal/websites/pygame/www.pygame.org/docs/_static/pygame_tiny.png	(from )
18:30:13	87290/87290	---M--	200	added ('OK')	text/html	etag:%22e06f7-154fa-4ec37c10c2e40%22	http://www.pygame.org/docs/genindex.html	/home/michal/websites/pygame/www.pygame.org/docs/genindex.html	(from )
18:30:13	18339/18339	---M--	200	added ('OK')	text/html	etag:%22e7124-47a3-4ec37c0de6780%22	http://www.pygame.org/docs/ref/camera.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/camera.html	(from )
18:30:14	27964/27964	---M--	200	added ('OK')	text/html	etag:%22e70ca-6d3c-4ec37c0de6780%22	http://www.pygame.org/docs/ref/cdrom.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/cdrom.html	(from )
18:30:15	18363/18363	---M--	200	added ('OK')	text/html	etag:%22e70f5-47bb-4ec37c0de6780%22	http://www.pygame.org/docs/ref/color.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/color.html	(from )
18:30:16	13839/13839	---M--	200	added ('OK')	text/html	etag:%22e0cd6-360f-4ec37c0de6780%22	http://www.pygame.org/docs/ref/cursors.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/cursors.html	(from )
18:30:17	39517/39517	---M--	200	added ('OK')	text/html	etag:%22e0cd7-9a5d-4ec37c0de6780%22	http://www.pygame.org/docs/ref/display.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/display.html	(from )
18:30:18	29480/29480	---M--	200	added ('OK')	text/html	etag:%22e0cd8-7328-4ec37c0de6780%22	http://www.pygame.org/docs/ref/draw.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/draw.html	(from )
18:30:20	27637/27637	---M--	200	added ('OK')	text/html	etag:%22e0cdb-6bf5-4ec37c0de6780%22	http://www.pygame.org/docs/ref/event.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/event.html	(from )
18:30:21	40518/40518	---M--	200	added ('OK')	text/html	etag:%22e70f6-9e46-4ec37c0de6780%22	http://www.pygame.org/docs/ref/examples.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/examples.html	(from )
18:30:23	30204/30204	---M--	200	added ('OK')	text/html	etag:%22e0cdd-75fc-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/font.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/font.html	(from )
18:30:24	85229/85229	---M--	200	added ('OK')	text/html	etag:%22e0cde-14ced-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/freetype.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/freetype.html	(from )
18:30:25	26048/26048	---M--	200	added ('OK')	text/html	etag:%22e0cdf-65c0-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/gfxdraw.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/gfxdraw.html	(from )
18:30:25	17378/17378	---M--	200	added ('OK')	text/html	etag:%22e0ce0-43e2-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/image.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/image.html	(from )
18:30:26	30236/30236	---M--	200	added ('OK')	text/html	etag:%22e70f7-761c-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/joystick.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/joystick.html	(from )
18:30:27	18407/18407	---M--	200	added ('OK')	text/html	etag:%22e0ce1-47e7-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/key.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/key.html	(from )
18:30:28	6399/6399	---M--	200	added ('OK')	text/html	etag:%22e0ce3-18ff-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/locals.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/locals.html	(from )
18:30:29	26375/26375	---M--	200	added ('OK')	text/html	etag:%22e70f8-6707-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/mask.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/mask.html	(from )
18:30:31	49695/49695	---M--	200	added ('OK')	text/html	etag:%22e0ce5-c21f-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/math.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/math.html	(from )
18:30:32	34083/34083	---M--	200	added ('OK')	text/html	etag:%22e0ce6-8523-4ec37c0eda9c0%22	http://www.pygame.org/docs/ref/midi.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/midi.html	(from )
18:30:33	49096/49096	---M--	200	added ('OK')	text/html	etag:%22e0ce7-bfc8-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/mixer.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/mixer.html	(from )
18:30:34	15960/15960	---M--	200	added ('OK')	text/html	etag:%22e70f9-3e58-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/mouse.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/mouse.html	(from )
18:30:35	21179/21179	---M--	200	added ('OK')	text/html	etag:%22e0ce8-52bb-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/movie.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/movie.html	(from )
18:30:36	20965/20965	---M--	200	added ('OK')	text/html	etag:%22e0ce9-51e5-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/music.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/music.html	(from )
18:30:38	9276/9276	---M--	200	added ('OK')	text/html	etag:%22e0cea-243c-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/overlay.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/overlay.html	(from )
18:30:39	26480/26480	---M--	200	added ('OK')	text/html	etag:%22e0ceb-6770-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/pixelarray.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/pixelarray.html	(from )
18:30:40	12997/12997	---M--	200	added ('OK')	text/html	etag:%22e0cec-32c5-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/pixelcopy.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/pixelcopy.html	(from )
18:30:41	22325/22325	---M--	200	added ('OK')	text/html	etag:%22e0ced-5735-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/pygame.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/pygame.html	(from )
18:30:43	26236/26236	---M--	200	added ('OK')	text/html	etag:%22e0cee-667c-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/rect.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/rect.html	(from )
18:30:44	19619/19619	---M--	200	added ('OK')	text/html	etag:%22e70fa-4ca3-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/scrap.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/scrap.html	(from )
18:30:45	12842/12842	---M--	200	added ('OK')	text/html	etag:%22e0cf0-322a-4ec37c0fcec00%22	http://www.pygame.org/docs/ref/sndarray.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/sndarray.html	(from )
18:30:47	72480/72480	---M--	200	added ('OK')	text/html	etag:%22e0cf1-11b20-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/sprite.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/sprite.html	(from )
18:30:49	67156/67156	---M--	200	added ('OK')	text/html	etag:%22e0cf2-10654-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/surface.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/surface.html	(from )
18:30:49	25185/25185	---M--	200	added ('OK')	text/html	etag:%22e0cf3-6261-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/surfarray.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/surfarray.html	(from )
18:30:49	10503/10503	---M--	200	added ('OK')	text/html	etag:%22e0cf4-2907-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/tests.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/tests.html	(from )
18:30:50	16025/16025	---M--	200	added ('OK')	text/html	etag:%22e0cf5-3e99-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/time.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/time.html	(from )
18:30:51	21792/21792	---M--	200	added ('OK')	text/html	etag:%22e0cf6-5520-4ec37c10c2e40%22	http://www.pygame.org/docs/ref/transform.html	/home/michal/websites/pygame/www.pygame.org/docs/ref/transform.html	(from )
18:30:52	5448/5448	---M--	200	added ('OK')	text/html	etag:%22e0ce4-1548-4ec37c0de6780%22	http://www.pygame.org/docs/filepaths.html	/home/michal/websites/pygame/www.pygame.org/docs/filepaths.html	(from )
18:30:57	2973/2973	---M--	200	added ('OK')	text/html	etag:%22e0cfa-b9d-4ab29a25f3540%22	http://www.pygame.org/docs/tut/ImportInit.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/ImportInit.html	(from )
18:30:58	17062/17062	---M--	200	added ('OK')	text/html	etag:%22e0d0e-42a6-4ab29a25f3540%22	http://www.pygame.org/docs/tut/intro/intro.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/intro/intro.html	(from )
18:30:59	21767/21767	---M--	200	added ('OK')	text/html	etag:%22e0cfb-5507-4d2738538b240%22	http://www.pygame.org/docs/tut/MoveIt.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/MoveIt.html	(from )
18:31:01	39974/39974	---M--	200	added ('OK')	text/html	etag:%22e0cf7-9c26-4ec37c10c2e40%22	http://www.pygame.org/docs/tut/SpriteIntro.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/SpriteIntro.html	(from )
18:31:02	25498/25498	---M--	200	added ('OK')	text/html	etag:%22e0d08-639a-4ab29a25f3540%22	http://www.pygame.org/docs/tut/chimp/ChimpLineByLine.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/chimp/ChimpLineByLine.html	(from )
18:31:03	22123/22123	---M--	200	added ('OK')	text/html	etag:%22e0d0f-566b-4ab29a25f3540%22	http://www.pygame.org/docs/tut/surfarray/SurfarrayIntro.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/surfarray/SurfarrayIntro.html	(from )
18:31:04	10105/10105	---M--	200	added ('OK')	text/html	etag:%22e0cfe-2779-4ab29a25f3540%22	http://www.pygame.org/docs/tut/camera/CameraIntro.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/camera/CameraIntro.html	(from )
18:31:06	9078/9078	---M--	200	added ('OK')	text/html	etag:%22e0d20-2376-4c50747bf3980%22	http://www.pygame.org/docs/tut/tom/MakeGames.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/tom/MakeGames.html	(from )
18:31:07	35595/35595	---M--	200	added ('OK')	text/html	etag:%22e0cf8-8b0b-4ec37c10c2e40%22	http://www.pygame.org/docs/tut/newbieguide.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/newbieguide.html	(from )
18:31:07	2941/2941	---M--	200	added ('OK')	text/html	etag:%22e0ccb-b7d-4ec37c10c2e40%22	http://www.pygame.org/docs/search.html	/home/michal/websites/pygame/www.pygame.org/docs/search.html	(from )
18:31:08	3992/3992	---M--	200	added ('OK')	application/javascript	etag:%22e70fb-f98-4ec37c0b0a0c0%22	http://www.pygame.org/docs/_static/jquery.plugin.docscomments.js	/home/michal/websites/pygame/www.pygame.org/docs/_static/jquery.plugin.docscomments.js	(from )
18:31:09	2861/2861	---M--	200	added ('OK')	text/html	etag:%22b2d-4d3672e1409c0;eb-4d3672e1409c0%22	http://www.w3.org/1999/xhtml/	/home/michal/websites/pygame/www.w3.org/1999/xhtml/index.html	(from http://www.pygame.org/docs/)
18:31:10	1083/1083	---M--	200	added ('OK')	text/css	etag:%22e708d-43b-4ab29a25f3540%22	http://www.pygame.org/docs/_static/reset.css	/home/michal/websites/pygame/www.pygame.org/docs/_static/reset.css	(from http://www.pygame.org/docs/)
18:31:12	798/798	---M--	200	added ('OK')	text/css	etag:%22e708f-31e-4ab29a25f3540%22	http://www.pygame.org/docs/_static/tooltip.css	/home/michal/websites/pygame/www.pygame.org/docs/_static/tooltip.css	(from http://www.pygame.org/docs/)
18:31:13	392/392	---M--	200	added ('OK')	image/png	etag:%22e7100-188-4ec37b782c640%22	http://www.pygame.org/docs/_static/file.png	/home/michal/websites/pygame/www.pygame.org/docs/_static/file.png	(from http://www.pygame.org/docs/)
18:31:14	12672/12672	---M--	200	added ('OK')	text/html	etag:%22e0cd9-3180-4ec37c0de6780%22	http://www.pygame.org/docs/index.html	/home/michal/websites/pygame/www.pygame.org/docs/index-2.html	(from http://www.pygame.org/docs/)
18:31:18	17765/17765	---M--	200	added ('OK')	image/png	etag:%22e0cd1-4565-4ec37c0b0a0c0%22	http://www.pygame.org/docs/_images/draw_module_example.png	/home/michal/websites/pygame/www.pygame.org/docs/_images/draw_module_example.png	(from http://www.pygame.org/docs/)
18:31:23	5015/5015	---M--	200	added ('OK')	image/gif	etag:%22e0d0b-1397-4ab29a25f3540%22	http://www.pygame.org/docs/tut/intro/ball.gif	/home/michal/websites/pygame/www.pygame.org/docs/tut/intro/ball.gif	(from http://www.pygame.org/docs/)
18:31:23	23524/23524	---M--	200	added ('OK')	image/png	etag:%22e0d2a-5be4-4ec37c0b0a0c0%22	http://www.pygame.org/docs/_images/joystick_calls.png	/home/michal/websites/pygame/www.pygame.org/docs/_images/joystick_calls.png	(from http://www.pygame.org/docs/)
18:31:26	2631/2631	---M--	200	added ('OK')	image/jpeg	etag:%22e0d0c-a47-4ab29a25f3540%22	http://www.pygame.org/docs/tut/intro/blade.jpg	/home/michal/websites/pygame/www.pygame.org/docs/tut/intro/blade.jpg	(from http://www.pygame.org/docs/)
18:31:28	7050/7050	---M--	200	added ('OK')	image/jpeg	etag:%22e0d0d-1b8a-4ab29a25f3540%22	http://www.pygame.org/docs/tut/intro/freedom.jpg	/home/michal/websites/pygame/www.pygame.org/docs/tut/intro/freedom.jpg	(from http://www.pygame.org/docs/)
18:31:29	11062/11062	---M--	200	added ('OK')	image/gif	etag:%22e0d0a-2b36-4ab29a25f3540%22	http://www.pygame.org/docs/tut/chimp/chimpshot.gif	/home/michal/websites/pygame/www.pygame.org/docs/tut/chimp/chimpshot.gif	(from http://www.pygame.org/docs/)
18:31:29	10691/10691	---M--	200	added ('OK')	text/html	etag:%22e0d09-29c3-4ab29a25f3540%22	http://www.pygame.org/docs/tut/chimp/chimp.py.html	/home/michal/websites/pygame/www.pygame.org/docs/tut/chimp/chimp.py.html	(from http://www.pygame.org/docs/)
